,nose_x,nose_y,nose_likelihood,body_center_x,body_center_y,body_center_likelihood,tail_base_x,tail_base_y,tail_base_likelihood,length,in center,direction,distance
0,55.2569694519043,459.1884765625,0.9999507665634155,59.174659729003906,354.897705078125,0.9983086585998535,27.316049575805664,263.3753356933594,0.5128928422927856,197.79656503731422,False,S,0.0
5,64.43172454833984,478.9849548339844,0.999983549118042,58.92276382446289,369.3057556152344,0.9995999932289124,17.78423500061035,256.15435791015625,0.5852933526039124,227.66085128219802,False,S,21.819181539024854
10,62.336082458496094,524.0376586914062,0.9999746084213257,61.349021911621094,415.1544494628906,0.998977780342102,67.84866333007812,334.8775634765625,0.9689640998840332,189.24040311084335,False,S,45.101417279651876
15,51.71106719970703,553.6272583007812,0.9999865293502808,61.71719741821289,445.81201171875,0.9998270869255066,78.7194595336914,364.4319763183594,0.8886154294013977,191.11333805068278,False,S,31.439391760856722
20,62.56864547729492,572.9619750976562,0.9999775886535645,60.310638427734375,463.8191833496094,0.9993581175804138,74.02237701416016,384.0378112792969,0.2737201750278473,189.2710427946781,False,S,22.174721636794196
25,58.62655258178711,547.65576171875,0.9999830722808838,61.28649139404297,449.193603515625,0.999894380569458,80.23870849609375,370.1075134277344,0.9951540231704712,178.85878718830796,False,S,25.611414095585328
30,67.01571655273438,477.94842529296875,0.9780148863792419,64.7155990600586,401.4677429199219,0.999992847442627,96.60598754882812,337.4275207519531,0.9999700784683228,143.60260704683427,False,S,70.2103327417588
35,51.49264907836914,442.84710693359375,0.9999756813049316,68.71354675292969,368.29449462890625,0.9999798536300659,78.44815063476562,309.7791442871094,0.9986773133277893,135.77069546497526,False,S,38.38057027168685
40,43.554039001464844,411.80499267578125,0.9990767240524292,74.178955078125,351.1988830566406,0.9999321699142456,96.20201110839844,295.5442199707031,0.9999964237213135,127.62592306014596,False,SW,32.04113586544978
45,131.76626586914062,291.5349426269531,0.9864912033081055,96.43488311767578,317.1850280761719,0.9999723434448242,82.49430847167969,369.63671875,0.9999934434890747,92.34507685497772,False,NE,149.15187530735886
50,40.19255828857422,311.671630859375,0.9979523420333862,111.71820068359375,304.05316162109375,0.9999071359634399,147.5625,272.318603515625,0.9936467409133911,114.35455891320164,False,W,93.76155999673236
55,50.31998062133789,232.55557250976562,0.9999651908874512,96.2499771118164,289.6948547363281,0.9982301592826843,162.675537109375,287.73486328125,0.8747594356536865,125.1739797393233,False,NW,79.76161590567831
60,52.835514068603516,189.87472534179688,0.9999955892562866,77.01736450195312,254.63916015625,0.9997692704200745,124.51460266113281,311.6465759277344,0.9843371510505676,141.3020712395241,False,N,42.75491344278243
65,70.73062896728516,145.0381317138672,0.9999576807022095,72.3049087524414,215.8607940673828,0.9999034404754639,87.84352111816406,292.1156005859375,0.9999948740005493,148.06968942893891,False,N,48.27582485461147
70,88.12234497070312,85.63855743408203,0.9999737739562988,79.93270874023438,162.3296661376953,0.9999750852584839,75.300537109375,235.28814697265625,0.915812075138092,150.19786418553548,False,N,61.89330505121906
75,99.09720611572266,48.70708465576172,0.9999970197677612,78.1064682006836,125.97416687011719,0.9998761415481567,73.70992279052734,196.21253967285156,0.9999066591262817,149.67422428204682,False,N,38.52766874245409
80,107.74396514892578,57.51687240600586,0.9999037981033325,85.12214660644531,109.77381896972656,0.9999393224716187,69.0993423461914,178.09475708007812,0.019333157688379288,126.61924476176395,False,NE,12.344180895573086
85,100.3135986328125,57.4221076965332,0.9999028444290161,79.72236633300781,113.81928253173828,0.9998836517333984,66.70353698730469,190.92630004882812,0.027368787676095963,137.66991544797796,False,N,7.430970792160259
90,135.77003479003906,41.560211181640625,0.9997779726982117,83.27375793457031,116.00910949707031,0.9999642372131348,66.46255493164062,172.7642059326172,0.043830543756484985,148.38468587740647,False,NE,38.84274225670279
95,32.12616729736328,150.2071075439453,0.9998998641967773,93.52596282958984,121.2469711303711,0.9997418522834778,157.66957092285156,68.45306396484375,0.023975316435098648,149.81612007860136,False,SW,150.15391888992013
100,192.19851684570312,83.57311248779297,0.9999947547912598,115.80601501464844,113.43339538574219,0.9999754428863525,128.63760375976562,127.0855712890625,0.00678345886990428,77.0280711380616,False,E,173.3875612236046
105,226.98924255371094,73.0248794555664,0.9999594688415527,138.6914825439453,104.16638946533203,0.9992250204086304,60.80277633666992,129.00137329101562,0.02934306673705578,175.36051270402297,False,E,36.354639530491724
110,236.27459716796875,71.45789337158203,0.9998641014099121,139.85137939453125,103.38723754882812,0.9983938336372375,62.64723587036133,129.6339111328125,0.029686810448765755,183.11447139351085,False,E,9.416647795257054
115,185.7733612060547,65.51766967773438,0.999868631362915,125.70654296875,114.00636291503906,0.9999126195907593,180.8275604248047,66.80133819580078,0.028538603335618973,5.109672223547017,False,NE,50.84939617354243
120,92.62108612060547,47.43226623535156,0.9989655017852783,109.71894836425781,115.81756591796875,0.9999210834503174,108.14518737792969,154.01861572265625,0.17740818858146667,107.71094474043718,False,N,94.8916654468081
