,nose_x,nose_y,nose_likelihood,body_center_x,body_center_y,body_center_likelihood,tail_base_x,tail_base_y,tail_base_likelihood,length,in center,direction,distance
0,412.3784484863281,556.4849853515625,0.9981702566146851,465.3249816894531,548.9771118164062,0.7126966118812561,542.3214111328125,545.12158203125,0.9856400489807129,130.43887639950646,True,W,0.0
5,392.8175048828125,580.634765625,0.9995536208152771,449.58447265625,554.3055419921875,0.9987510442733765,526.6078491210938,531.1456298828125,0.6417105793952942,142.6500289796902,True,SW,31.07800511479509
10,367.7495422363281,632.6015014648438,0.9995941519737244,414.3380432128906,581.381591796875,0.9978147745132446,491.9553527832031,540.2251586914062,0.011748580262064934,154.79170545543397,True,SW,57.697004992405255
15,340.1938781738281,660.4380493164062,0.9999686479568481,416.4946594238281,583.6327514648438,0.9999538660049438,478.23876953125,548.27001953125,0.09869872033596039,177.87090525368703,True,SW,39.168712235886474
20,336.896240234375,665.2154541015625,0.9998363256454468,417.8248596191406,589.2080078125,0.9997438788414001,376.1640319824219,639.5926513671875,0.012820997275412083,46.888031401762575,True,SW,5.804998919978753
25,356.8694763183594,660.29736328125,0.9999865293502808,417.4089050292969,583.1167602539062,0.9999903440475464,478.447021484375,552.19384765625,0.00742415152490139,162.68825888514263,True,SW,20.569826858372377
30,390.3540344238281,658.44482421875,0.9998729228973389,419.7966003417969,574.730712890625,0.9999408721923828,483.1808166503906,545.0712890625,0.007253161631524563,146.5277105955154,True,S,33.535764975569016
35,430.9732360839844,664.6936645507812,0.9996559619903564,425.45904541015625,574.6582641601562,0.9984955787658691,400.550048828125,596.2755737304688,0.6112997531890869,74.87726941002599,True,S,41.09705036865372
40,434.4693908691406,691.6776733398438,0.9999868869781494,428.380615234375,585.7698974609375,0.9989172220230103,480.3573913574219,541.177978515625,0.00804137997329235,157.339971815796,True,S,27.209553995057934
45,441.3959655761719,722.0201416015625,0.9999250173568726,431.6913146972656,599.2138061523438,0.9999407529830933,429.2877197265625,656.7468872070312,0.020786860957741737,66.38680107376598,True,S,31.12302712438966
50,422.5002136230469,547.9832153320312,0.9999462366104126,437.1148376464844,617.42626953125,0.9998258948326111,467.0846252441406,560.286376953125,0.016949035227298737,46.25081129530458,True,N,175.05970737785518
55,450.6681213378906,733.1461181640625,0.9999371767044067,432.45037841796875,623.1630249023438,0.999829888343811,466.046630859375,561.8463134765625,0.09944582730531693,171.98872533127872,True,S,187.29317021775302
60,451.4879150390625,713.213623046875,0.9999834299087524,432.5076599121094,615.8212280273438,0.9999805688858032,467.2711486816406,558.2579956054688,0.009100413881242275,155.75736560425034,True,S,19.949346438146403
65,467.29107666015625,656.53369140625,0.9998966455459595,430.6041259765625,589.6187133789062,0.9995394945144653,446.74835205078125,644.1322631835938,0.03195641562342644,23.99581122484331,True,SE,58.841775704072134
70,465.7649841308594,627.0872802734375,0.9999477863311768,433.632568359375,568.2897338867188,0.9990164041519165,464.012451171875,622.0026245117188,0.03791075199842453,5.378205647565572,True,SE,29.485930322962503
75,480.3455810546875,582.9285888671875,0.999785840511322,434.753173828125,557.4237670898438,0.9110320210456848,477.84716796875,578.0475463867188,0.013797889463603497,5.483305904664108,True,SE,46.50358946756222
80,496.2466735839844,540.1837158203125,0.950901985168457,447.51739501953125,548.4799194335938,0.9161911010742188,385.8650207519531,505.0051574707031,0.014550120569765568,115.85180296174913,True,E,45.6066762154262
85,401.34674072265625,507.96795654296875,0.03809308633208275,449.51873779296875,543.8833618164062,0.008422338403761387,395.5010986328125,509.5947570800781,0.0008842574898153543,6.067784721798571,True,NW,100.21902216096676
90,572.0601196289062,475.15594482421875,0.9743559956550598,542.899169921875,486.1477966308594,0.9620633125305176,515.6556396484375,511.4007263183594,0.03650413826107979,67.04587643863789,True,E,173.8381024131944
95,572.7792358398438,489.1352233886719,0.896938681602478,542.43896484375,494.61883544921875,0.8531845808029175,516.5081787109375,515.7920532226562,0.010172005742788315,62.26570843733034,True,E,13.997762582191903
100,410.5162353515625,546.5518188476562,0.6328418850898743,521.7362060546875,485.4832763671875,0.2701152563095093,524.1856689453125,494.74945068359375,0.004407321102917194,124.91687428417754,True,SW,172.1218950673058
105,408.1007080078125,538.32763671875,0.6575285196304321,446.856201171875,549.2626953125,0.6721712350845337,408.7532653808594,537.746337890625,0.005116121843457222,0.8739218802028799,True,W,8.571577686623675
110,475.81854248046875,423.4530029296875,0.9972034692764282,479.00067138671875,450.14703369140625,0.7660565972328186,468.3023681640625,473.71478271484375,0.08123008906841278,50.8206590229421,True,N,133.34874050337817
115,470.9019470214844,388.8902587890625,0.9999245405197144,465.33416748046875,430.223876953125,0.9984764456748962,458.4375915527344,475.8870849609375,0.11418019235134125,87.88519739541348,True,N,34.91068881356559
120,473.6334228515625,392.0498046875,0.9995379447937012,464.04296875,432.0771484375,0.9987331032752991,450.7055969238281,473.87518310546875,0.033599887043237686,84.97692483854823,True,N,4.176564436787036
125,473.8526611328125,423.50360107421875,0.9948689937591553,465.83343505859375,450.93865966796875,0.990212619304657,483.5968017578125,461.90924072265625,0.029494959861040115,39.622486460662834,True,N,31.454560441391116
130,405.8446350097656,519.7824096679688,0.9298033714294434,428.2793884277344,554.2103271484375,0.7910282611846924,397.65277099609375,572.6911010742188,0.9884875416755676,53.53910965210651,True,NW,117.87578462680524
135,408.1567077636719,513.7267456054688,0.8538402915000916,429.02740478515625,556.0533447265625,0.6319992542266846,400.7297058105469,594.7517700195312,0.9998829364776611,81.3647032767351,True,NW,6.482032679430861
140,376.739013671875,496.2107849121094,0.999594509601593,401.88543701171875,539.568115234375,0.9735308885574341,412.5389099121094,597.8442993164062,0.999797523021698,107.75436799025813,True,NW,35.97054880116564
145,323.5897521972656,481.9093933105469,0.9999972581863403,377.1371765136719,526.13134765625,0.9998472929000854,419.23468017578125,585.5968627929688,0.9998632669448853,141.06396979981673,True,NW,55.03974742890485
150,294.0075988769531,470.80364990234375,0.9999840259552002,364.9473876953125,512.8554077148438,0.9998719692230225,417.5156555175781,571.7252197265625,0.9999332427978516,159.4973457801994,True,NW,31.59812228147937
155,260.50628662109375,452.7773132324219,0.9999966621398926,349.8448791503906,500.4520263671875,0.9998908042907715,401.7671203613281,546.1893310546875,0.9999780654907227,169.35296933509434,True,NW,38.043221953482906
160,238.3118896484375,444.2064514160156,0.9998520612716675,333.2964172363281,495.1143798828125,0.997951090335846,388.90093994140625,540.48486328125,0.6881213188171387,178.73610340227845,True,NW,23.791824840809994
165,250.71588134765625,458.2139587402344,0.9998557567596436,334.1256408691406,496.3480224609375,0.9994794726371765,395.88873291015625,543.2345581054688,0.9999442100524902,168.2369137472848,True,NW,18.710138201315605
170,277.96026611328125,491.0543212890625,0.9999650716781616,360.5610656738281,509.3542175292969,0.9998807907104492,413.51568603515625,555.1160888671875,0.9989043474197388,149.93059039245318,True,W,42.670199362035945
175,297.4429626464844,506.0156555175781,0.9985590577125549,369.0131530761719,518.9445190429688,0.9999749660491943,428.42352294921875,559.561279296875,0.9987271428108215,141.50279503646647,True,W,24.56454734169222
180,342.1084289550781,507.6561279296875,0.999970555305481,394.26959228515625,544.8648681640625,0.999772846698761,443.80731201171875,585.0907592773438,0.9969141483306885,127.82325667465875,True,NW,44.69558177604376
185,355.0040283203125,514.283935546875,0.9999982118606567,403.4366760253906,558.6324462890625,0.9992508292198181,452.43267822265625,589.8116455078125,0.999968409538269,123.27520753881116,True,NW,14.499114345334403
190,390.29736328125,505.9873352050781,0.9998326301574707,415.9886474609375,560.9476318359375,0.9856584668159485,462.5592041015625,592.6787109375,0.9999483823776245,112.85906372604784,True,NW,36.25538677074673
195,402.7196044921875,518.8319091796875,0.9980637431144714,423.52154541015625,562.1470947265625,0.999687671661377,474.44989013671875,583.7579956054688,0.9996238946914673,96.75035181958803,True,NW,17.868832006931132
200,374.64495849609375,574.59716796875,0.9997667670249939,429.0997619628906,563.6631469726562,0.9997468590736389,483.9208679199219,573.237060546875,0.9961509704589844,109.28437341451763,True,W,62.43356337433492
205,370.2156982421875,633.0592041015625,0.9999368190765381,423.04656982421875,575.657958984375,0.9997864365577698,480.3031921386719,564.2167358398438,0.978346586227417,129.8404472757786,True,SW,58.62958310606607
210,334.7091064453125,685.8800659179688,0.9995447993278503,394.3153076171875,619.7755737304688,0.9998605251312256,446.91717529296875,565.7036743164062,0.9988254904747009,164.41720047760353,True,SW,63.645592966503145
215,301.88177490234375,729.32373046875,0.9994997978210449,360.0661315917969,652.99951171875,0.9998624324798584,412.3047790527344,590.6978759765625,0.9977224469184875,177.22970230547227,True,SW,54.451682121242115
