,nose_x,nose_y,nose_likelihood,body_center_x,body_center_y,body_center_likelihood,tail_base_x,tail_base_y,tail_base_likelihood,length,in center,direction,distance
0,592.62841796875,542.453125,0.9998713731765747,544.4096069335938,615.1213989257812,0.9999611377716064,557.6754150390625,692.0604248046875,0.9999814033508301,153.636117396439,True,NE,0.0
5,553.6149291992188,560.5994873046875,0.9999706745147705,544.3684692382812,629.8662109375,0.9999924898147583,563.057861328125,701.7974243164062,0.9999210834503174,141.51334348236009,True,N,43.02723289805335
10,509.34326171875,609.0895385742188,0.9980803728103638,548.0170288085938,644.6563110351562,0.9999973773956299,565.8256225585938,703.7926635742188,0.9997557997703552,110.26757896502461,True,NW,65.6602285529297
15,478.9453125,610.1915283203125,0.9998146891593933,542.7482299804688,639.9840698242188,0.9999750852584839,568.9232177734375,704.5426025390625,0.9997285008430481,130.37694828315227,True,NW,30.4179173860769
20,461.26348876953125,600.829833984375,0.999817430973053,540.63037109375,640.6642456054688,0.9997712969779968,571.1962890625,702.4780883789062,0.9998063445091248,149.7250419993566,True,NW,20.007203984437506
25,455.28131103515625,596.3325805664062,0.999920129776001,539.899658203125,639.35595703125,0.9994569420814514,575.40625,702.9746704101562,0.9998868703842163,160.6316789663542,True,NW,7.484099060747634
30,453.97906494140625,592.0059204101562,0.9999418258666992,530.0162353515625,633.9649047851562,0.9996045231819153,576.1967163085938,703.1959838867188,0.9998261332511902,165.22828002988285,True,NW,4.51838831845697
35,447.25543212890625,588.2064208984375,0.9998921155929565,537.792236328125,639.3978881835938,0.9962590932846069,579.2330932617188,701.3540649414062,0.9999648332595825,173.8404221996767,True,NW,7.72291620677563
40,453.89105224609375,591.0490112304688,0.9998992681503296,529.7093505859375,634.1068725585938,0.9994282126426697,579.805908203125,701.8882446289062,0.9999551773071289,167.74947573996536,True,NW,7.218848532514101
45,455.9386291503906,590.544189453125,0.9997875094413757,530.6775512695312,634.0676879882812,0.9992192983627319,579.82861328125,702.2147216796875,0.9999592304229736,166.79039521419787,True,NW,2.1088898041126938
50,463.50750732421875,588.0242309570312,0.9999343156814575,533.0848999023438,636.1160888671875,0.9997790455818176,580.789306640625,703.4318237304688,0.9999759197235107,164.5415841684204,True,NW,7.977349662155148
