,nose_x,nose_y,nose_likelihood,body_center_x,body_center_y,body_center_likelihood,tail_base_x,tail_base_y,tail_base_likelihood,length,in center,direction,distance
0,37.96290969848633,950.2944946289062,0.9999977350234985,55.669837951660156,862.0374755859375,0.9999816417694092,74.66499328613281,788.3781127929688,0.9996875524520874,166.02396708462214,False,S,0.0
5,33.926063537597656,974.2848510742188,0.9999865293502808,50.165531158447266,881.3850708007812,0.9999897480010986,67.90681457519531,811.9085083007812,0.9998782873153687,165.8938459785536,False,S,24.327624818297174
10,23.22444725036621,992.8748779296875,0.9601410031318665,51.38037109375,892.236328125,0.999958872795105,66.30555725097656,822.123291015625,0.9999737739562988,176.10248854730966,False,S,21.45026082932762
15,9.74356746673584,19.94650650024414,0.9606336951255798,49.059593200683594,901.10986328125,0.9999871253967285,61.52231216430664,828.9148559570312,0.9997078776359558,810.6237282644116,False,N,973.0217623733241
20,563.2468872070312,22.980243682861328,0.14441309869289398,46.696632385253906,906.0609741210938,0.9998351335525513,66.2929916381836,828.9755859375,0.9999200105667114,946.8852443972423,False,NE,553.5116335948333
25,171.92921447753906,17.434988021850586,0.24328505992889404,45.31599426269531,902.1828002929688,0.9997561573982239,66.90886688232422,828.8156127929688,0.9999783039093018,818.1490033380165,False,N,391.3569609075223
30,67.78572082519531,963.4534912109375,0.9999923706054688,45.857479095458984,881.3378295898438,0.9999310970306396,57.13365173339844,824.5494995117188,0.9995142221450806,139.31182823404853,False,S,951.7336159063818
35,108.33773803710938,979.6507568359375,0.9999479055404663,62.23012924194336,884.9428100585938,0.9994207620620728,43.92628479003906,836.3301391601562,0.999958872795105,157.12935677449642,False,SE,43.66712165556806
40,9.668566703796387,20.545013427734375,0.9689341187477112,79.48330688476562,909.7036743164062,0.9990445971488953,33.800594329833984,851.8860473632812,0.9999942779541016,831.6912104034574,False,N,964.1677408056156
45,197.9129180908203,971.533935546875,0.999972939491272,123.00959777832031,924.4440307617188,0.9989253878593445,54.280113220214844,876.537353515625,0.9999213218688965,172.20549710336613,False,SE,969.4410068809996
50,236.0752716064453,975.8316040039062,0.9999876022338867,151.94802856445312,939.2785034179688,0.99954754114151,88.08338928222656,903.3931274414062,0.9999940395355225,164.7693239670579,False,SE,38.40358290600106
55,278.1933288574219,980.6870727539062,0.9999973773956299,190.34814453125,943.9647216796875,0.9997442364692688,119.76731872558594,928.5299682617188,0.9999402761459351,166.79077982700827,False,SE,42.397008424873164
60,317.76995849609375,980.3135375976562,0.9999954700469971,223.36102294921875,947.7090454101562,0.9999779462814331,146.79624938964844,928.0670776367188,0.9999847412109375,178.7783593840855,False,E,39.57839236337873
65,350.4241638183594,963.640869140625,0.99998939037323,259.89263916015625,953.643310546875,0.9999394416809082,179.52713012695312,951.9129638671875,0.9996901750564575,171.2989780664916,False,E,36.664355970162156
70,401.8426818847656,959.6248779296875,0.9999939203262329,311.87939453125,956.125,0.9999637603759766,221.08575439453125,939.5709228515625,0.9999228715896606,181.8659614935827,False,E,51.57511207502775
75,451.33709716796875,964.9856567382812,0.9999994039535522,359.11956787109375,955.6702270507812,0.9999611377716064,277.22412109375,955.32958984375,0.999981164932251,174.38052662293785,False,E,49.78388387481273
80,513.88623046875,956.7034912109375,0.9999973773956299,425.06396484375,954.6039428710938,0.9999381303787231,340.3763427734375,946.2470092773438,0.9999996423721313,173.82467932508183,False,E,63.095073837037575
85,556.1346435546875,961.4971313476562,0.9999974966049194,464.0552978515625,956.3029174804688,0.9999803304672241,383.80828857421875,961.33740234375,0.9999946355819702,172.3264290067232,False,E,42.51949428250971
90,620.5662841796875,960.0078735351562,0.9999946355819702,534.0617065429688,954.9619750976562,0.9999786615371704,451.20404052734375,951.1929321289062,0.999998927116394,169.59148789650814,False,E,64.4488495045586
95,688.6195068359375,963.0642700195312,0.9999990463256836,597.1373291015625,954.293212890625,0.9999872446060181,515.2421264648438,963.8209838867188,0.9999996423721313,173.37903172015848,False,E,68.12182229925179
100,736.9669189453125,969.750244140625,0.9999978542327881,641.7574462890625,961.102783203125,0.999993085861206,563.2628173828125,965.816162109375,0.9999935626983643,173.74864575317966,False,E,48.807525112647085
105,800.702880859375,983.8923950195312,0.9999985694885254,710.0678100585938,967.3411865234375,0.999993085861206,625.6553955078125,973.1856079101562,0.9999953508377075,175.37462022228578,False,E,65.2860878946853
110,855.8116455078125,980.0475463867188,0.9999977350234985,766.8748779296875,969.3365478515625,0.9999735355377197,681.0034790039062,968.1818237304688,0.9999935626983643,175.21041764293713,False,E,55.24272623690937
115,863.4219970703125,992.9911499023438,0.999975323677063,780.3157348632812,967.4851684570312,0.9999340772628784,703.2459106445312,962.41162109375,0.9999982118606567,163.0689616230966,False,E,15.015136458738763
120,869.68701171875,993.2988891601562,0.9999912977218628,784.995849609375,966.5841064453125,0.9999932050704956,709.3244018554688,959.445556640625,0.9999983310699463,163.89696386706163,False,E,6.272568213733146
125,885.398193359375,1000.87646484375,0.9999887943267822,795.2376708984375,967.2823486328125,0.9998992681503296,715.5330810546875,960.2718505859375,0.9999969005584717,174.65076889985295,False,E,17.443075468084846
130,907.4452514648438,1002.22314453125,0.9999176263809204,821.983154296875,971.884765625,0.999974250793457,734.1282348632812,957.4839477539062,0.9999808073043823,178.9982792429809,False,E,22.08814879718625
135,928.1300048828125,1002.8656616210938,0.9998931884765625,833.6101684570312,979.5953979492188,0.9999752044677734,753.4940795898438,965.8055419921875,0.9999988079071045,178.52495307334547,False,E,20.694730057986046
140,949.8329467773438,1008.5155029296875,0.9997610449790955,853.120361328125,980.5413208007812,0.9999840259552002,772.5823364257812,973.7968139648438,0.9999940395355225,180.61884240975246,False,E,22.42628800514459
145,944.0202026367188,1004.0133666992188,0.9997665286064148,853.65771484375,980.00732421875,0.9999958276748657,777.7963256835938,970.2363891601562,0.9999622106552124,169.6209346778928,False,E,7.352361870995581
150,943.9302978515625,1002.07177734375,0.9996299743652344,857.2120361328125,979.3661499023438,0.9999651908874512,783.5657958984375,970.5872802734375,0.9999494552612305,163.4259680786513,False,E,1.9436697496394668
155,929.8776245117188,999.7692260742188,0.9810543060302734,852.3521728515625,976.6627197265625,0.9999769926071167,782.88818359375,966.0225219726562,0.9999921321868896,150.8135795579942,False,E,14.24006216086065
160,884.1329956054688,941.1547241210938,0.9720446467399597,822.3153686523438,971.7572631835938,0.9999585151672363,749.4615478515625,962.2968139648438,0.9999980926513672,136.32089642858978,False,NE,74.35207403282989
165,880.198974609375,913.790283203125,0.9793329834938049,825.3926391601562,966.0459594726562,0.9998289346694946,744.7461547851562,971.3095703125,0.9999743700027466,147.15955554398423,False,NE,27.645779930230017
170,877.7742919921875,863.85498046875,0.9999563694000244,838.4572143554688,930.6109008789062,0.9999668598175049,769.4727172851562,984.9164428710938,0.9999979734420776,162.4349370148453,False,NE,49.994135105707855
175,831.2630004882812,829.5787353515625,0.9999529123306274,827.4385986328125,911.6390991210938,0.9999101161956787,784.9085083007812,984.8784790039062,0.9999454021453857,162.07019875487498,False,N,57.776822487004786
180,821.1504516601562,786.0240478515625,0.9999984502792358,818.7518310546875,866.167724609375,0.999958872795105,819.0646362304688,948.874755859375,0.9999985694885254,162.86406517293042,False,N,44.713246885278515
185,813.9407958984375,740.6810302734375,0.9999938011169434,813.8104858398438,817.8478393554688,0.9999388456344604,836.3533325195312,899.4012451171875,0.9999992847442627,160.29481712718606,False,N,45.91261677679282
190,827.48388671875,697.1788330078125,0.9999804496765137,816.0537719726562,767.9893798828125,0.9999674558639526,827.2728271484375,850.5369873046875,0.9999899864196777,153.3582995324555,False,N,45.561567970215684
195,826.56494140625,651.0267333984375,0.9999071359634399,814.9119873046875,727.1622314453125,0.9999555349349976,826.1083984375,808.7947998046875,0.9999696016311646,157.76872696782854,False,N,46.161247370939165
200,824.5660400390625,621.6544189453125,0.9999644756317139,815.1154174804688,697.268310546875,0.9998044371604919,824.106201171875,785.9722900390625,0.9999974966049194,164.3185145154557,False,N,29.440252427739132
205,815.827880859375,599.6094970703125,0.999988317489624,815.6099853515625,677.1307373046875,0.9998742341995239,827.1925659179688,765.3856201171875,0.9997782111167908,166.16521609209812,False,N,23.71358273910567
210,819.2628173828125,565.6463012695312,0.999998927116394,813.4026489257812,651.5286865234375,0.9975492358207703,833.214111328125,728.3397827148438,0.999697208404541,163.29056159969795,False,N,34.13645350534015
215,869.4550170898438,564.08056640625,0.9999639987945557,828.8953247070312,626.7247924804688,0.999797523021698,820.3744506835938,713.8348999023438,0.9999713897705078,157.59207594170965,False,NE,50.21661514969525
220,906.8449096679688,533.0291748046875,0.9998675584793091,849.8375854492188,599.8380126953125,0.9991414546966553,827.612060546875,672.0956420898438,0.9999532699584961,160.05413678821125,False,NE,48.60239693057651
225,916.2222290039062,516.5838623046875,0.9998310804367065,860.19970703125,594.7724609375,0.9999061822891235,836.8091430664062,661.2484741210938,0.9998428821563721,165.02814344865018,False,NE,18.930991024000924
230,900.2044677734375,522.2937622070312,0.9999686479568481,858.5370483398438,596.1854858398438,0.9999517202377319,831.8508911132812,668.4947509765625,0.9992961883544922,161.39064582380374,False,NE,17.005047242836255
235,902.5239868164062,541.6889038085938,0.9999405145645142,857.9725952148438,602.9013671875,0.9999569654464722,832.8418579101562,674.6502075195312,0.9999440908432007,150.114314352161,False,NE,19.53334805749785
240,877.4114379882812,563.8009033203125,0.9999719858169556,838.1217041015625,630.2070922851562,0.999984622001648,814.8806762695312,702.3626098632812,0.9999481439590454,152.0179025023924,False,NE,33.46013495267484
245,775.438720703125,621.070068359375,0.9999524354934692,816.2206420898438,673.80712890625,0.999981164932251,837.2887573242188,729.9179077148438,0.9998681545257568,125.19296770340006,False,NW,116.95380427668773
250,742.2804565429688,611.3743896484375,0.9999973773956299,797.4693603515625,663.5641479492188,0.9999074935913086,838.791748046875,727.375244140625,0.9998828172683716,150.899395726655,True,NW,34.54673165120587
255,708.0923461914062,656.5130615234375,0.999990701675415,790.3085327148438,673.7367553710938,0.9999617338180542,845.7008056640625,719.7387084960938,0.9999679327011108,151.43833911380776,True,W,56.62443454949048
260,668.1542358398438,674.9336547851562,0.9999752044677734,752.6467895507812,688.794921875,0.9999289512634277,831.5554809570312,710.01123046875,0.9999836683273315,167.1239157681672,True,W,43.981483769505346
265,642.2742919921875,708.6732788085938,0.9999951124191284,722.2113037109375,689.7725219726562,0.9999836683273315,806.7738037109375,693.3084716796875,0.9999508857727051,165.21551577807594,True,W,42.52215566973012
270,668.6577758789062,732.837890625,0.999464213848114,737.7265014648438,689.9992065429688,0.9999860525131226,810.9615478515625,687.7239990234375,0.9991132616996765,149.28371221631406,True,SW,35.77732083650687
275,666.807861328125,779.6480102539062,0.9990198612213135,730.8442993164062,707.0714721679688,0.9989882111549377,800.41259765625,684.5836791992188,0.9966287016868591,163.97393880791859,True,SW,46.846659256746435
280,645.1551513671875,830.893798828125,0.999902606010437,693.7846069335938,755.9617919921875,0.9999788999557495,760.0020141601562,705.3492431640625,0.9999808073043823,170.1506313543205,True,SW,55.63246080523502
285,634.0513916015625,886.07275390625,0.9993122816085815,686.3407592773438,793.5315551757812,0.9999715089797974,728.4308471679688,731.3328857421875,0.9999122619628906,181.25095429388142,True,SW,56.28508296561753
290,635.7438354492188,938.6849365234375,0.9998900890350342,663.9172973632812,846.9358520507812,0.999922513961792,705.9841918945312,775.5772094726562,0.999981164932251,177.58895882694034,False,S,52.63939708926914
295,652.5850219726562,981.81005859375,0.9999897480010986,668.354248046875,872.143798828125,0.9999297857284546,694.6680297851562,803.3678588867188,0.9998526573181152,183.33738893862036,False,S,46.296886689026586
300,659.1845703125,984.0834350585938,0.9999958276748657,670.3851928710938,883.8842163085938,0.9999825954437256,694.982177734375,816.3603515625,0.9999825954437256,171.50073304382204,False,S,6.980134586155188
305,647.640380859375,968.211181640625,0.9999514818191528,670.2577514648438,883.6997680664062,0.9999771118164062,694.7549438476562,816.1969604492188,0.9999816417694092,159.14806153392666,False,S,19.62642959618135
310,659.89306640625,972.5819091796875,0.9999943971633911,669.66748046875,881.8005981445312,0.9999732971191406,695.0245971679688,815.7283325195312,0.9999529123306274,160.73975539593528,False,S,13.00890319478621
315,699.7343139648438,921.7429809570312,0.997931718826294,675.391357421875,858.1846923828125,0.9999804496765137,696.9407348632812,798.2080688476562,0.9995344877243042,123.56649462563746,False,S,64.59041438056848
320,11.230308532714844,21.452333450317383,0.9979883432388306,684.7457275390625,848.69140625,0.9987280964851379,680.8722534179688,795.1005249023438,0.9996920824050903,1023.2066548291682,False,NW,1133.3847605663943
325,771.8506469726562,923.1758422851562,0.9999265670776367,706.3051147460938,861.2090454101562,0.9998890161514282,683.9446411132812,804.27783203125,0.9999194145202637,147.86548856473058,False,SE,1179.681561114653
330,802.7801513671875,905.0560302734375,0.9999033212661743,719.2013549804688,860.0790405273438,0.9999003410339355,684.5350952148438,808.463623046875,0.999295711517334,152.68263306051875,False,SE,35.8463642428539
335,855.331787109375,935.991455078125,0.9999754428863525,782.1688232421875,887.117431640625,0.9999319314956665,715.103271484375,838.2447509765625,0.9999737739562988,170.93406552559756,False,SE,60.980939046771276
340,911.0910034179688,977.7835693359375,0.9998194575309753,829.570556640625,918.1483764648438,0.9999600648880005,761.11083984375,883.2525634765625,0.9999706745147705,177.28553391220223,False,SE,69.68264502361117
345,954.6402587890625,973.8284912109375,0.9997996687889099,873.2101440429688,934.3005981445312,0.999968409538269,798.9230346679688,893.0858764648438,0.9999175071716309,175.4058828090297,False,SE,43.7284836960029
350,958.4559326171875,932.5620727539062,0.9999878406524658,880.720947265625,930.9049682617188,0.9999222755432129,814.5122680664062,897.2626953125,0.9999816417694092,148.20871975716778,False,E,41.44244996417861
355,955.347412109375,886.642333984375,0.9999833106994629,887.1729736328125,915.9544067382812,0.995433509349823,811.4488525390625,899.1392211914062,0.9999885559082031,144.4401870542822,False,NE,46.024833605451335
360,943.6654663085938,825.9365234375,0.9999164342880249,899.9798583984375,877.6271362304688,0.9998132586479187,826.8173828125,913.606201171875,0.9999905824661255,146.08027591279824,False,NE,61.819602812097315
365,958.8568725585938,769.6950073242188,0.9990429282188416,914.9536743164062,829.4674072265625,0.9999806880950928,865.5135498046875,905.0668334960938,0.9997128844261169,164.43389925391983,False,NE,58.25707646778212
370,960.8719482421875,737.3828125,0.9993805885314941,922.6846923828125,805.4429321289062,0.9999116659164429,874.8269653320312,889.2565307617188,0.999924898147583,174.554763276884,False,NE,32.374966631162415
375,965.9192504882812,719.6690063476562,0.9995158910751343,920.6241455078125,785.7274780273438,0.9994434714317322,900.6832885742188,869.3969116210938,0.9999290704727173,163.32230816524878,False,NE,18.41885415454051
380,961.9573974609375,709.3692016601562,0.9998794794082642,924.2744140625,765.76953125,0.999723494052887,877.988525390625,847.3699951171875,0.999797523021698,161.5394393686282,False,NE,11.035499807934384
385,968.522705078125,741.005615234375,0.9973928928375244,918.2247924804688,784.1712646484375,0.9999840259552002,865.990478515625,843.0897216796875,0.9999890327453613,144.6859435902525,False,NE,32.31046158672625
390,963.6298217773438,743.664794921875,0.9881505966186523,919.7374267578125,784.5818481445312,0.9999785423278809,865.742919921875,841.4932861328125,0.9999918937683105,138.3916877831564,False,NE,5.568800912716903
395,954.1224975585938,763.7994384765625,0.9989669322967529,910.0441284179688,791.5974731445312,0.999976634979248,856.0482788085938,838.761474609375,0.9999935626983643,123.44172408306657,False,NE,22.266411585047763
400,9.866840362548828,20.7821102142334,0.9856353998184204,909.2723388671875,801.1072998046875,0.9998903274536133,852.1924438476562,842.6416015625,0.999990701675415,1176.8455488320385,False,NW,1201.5379712039169
405,959.7736206054688,810.214599609375,0.9938099980354309,912.6514892578125,810.843994140625,0.9999265670776367,853.1932983398438,838.519775390625,0.9999973773956299,110.2748750634157,False,E,1235.1220775551221
410,956.7837524414062,816.454345703125,0.8955262899398804,914.3289794921875,812.3649291992188,0.9999438524246216,863.0944213867188,826.56640625,0.9999507665634155,94.23345755080038,False,E,6.919085413039996
415,950.3027954101562,814.56884765625,0.9777393937110901,918.2398681640625,816.0384521484375,0.9992390871047974,872.197021484375,826.4862060546875,0.9999386072158813,79.0097168185158,False,E,6.7496597636975935
420,946.1531372070312,820.4116821289062,0.9892562627792358,910.7193603515625,817.1594848632812,0.9995298385620117,865.999267578125,826.3822021484375,0.9999680519104004,80.37592877094063,False,E,7.166475973421165
425,7.893548011779785,21.000585556030273,0.7092565298080444,884.415771484375,814.6594848632812,0.9998086094856262,834.7568359375,825.4481201171875,0.9999940395355225,1153.6198389334575,False,NW,1232.635046573271
430,932.9542846679688,855.1724243164062,0.9999961853027344,875.7531127929688,816.9430541992188,0.9992936849594116,812.3629760742188,802.4763793945312,0.9999974966049194,131.60219169436849,False,SE,1245.6243507108222
435,956.6773071289062,856.68115234375,0.9999617338180542,893.738525390625,825.2528076171875,0.9996476173400879,816.9974365234375,804.0604858398438,0.9999991655349731,149.26285805811108,False,SE,23.770949811537562
440,926.6305541992188,791.8074951171875,0.9914420247077942,877.632568359375,813.120361328125,0.9997240900993347,814.8722534179688,818.5884399414062,0.9999963045120239,114.92230766561465,False,NE,71.4940470498573
445,7.976593017578125,19.889907836914062,0.9515380263328552,882.23876953125,799.2547607421875,0.9999170303344727,820.3638916015625,827.150634765625,0.9999949932098389,1145.2698390082812,False,NW,1199.9091057023102
450,898.96240234375,718.8295288085938,0.9859916567802429,879.6888427734375,774.3366088867188,0.9999618530273438,821.2387084960938,833.1438598632812,0.9999996423721313,138.23436211667808,False,N,1132.4187856904568
455,859.3106079101562,699.6041870117188,0.9996422529220581,861.6761474609375,769.2557983398438,0.9998677968978882,824.7964477539062,843.5735473632812,0.999880313873291,148.04865406794258,False,N,44.06675128723066
460,843.0553588867188,655.383056640625,0.999934196472168,848.8263549804688,727.88671875,0.9999649524688721,855.8854370117188,808.9735717773438,0.9999632835388184,154.12545943047903,False,N,47.114132615503344
465,843.170654296875,613.0203247070312,0.9999960660934448,848.3597412109375,688.3280639648438,0.9999821186065674,871.348876953125,766.46435546875,0.9999797344207764,156.00988048347608,False,N,42.3628888286567
470,825.36669921875,574.635009765625,0.9999020099639893,838.4097290039062,647.84521484375,0.9999648332595825,866.5581665039062,733.0548706054688,0.999991774559021,163.68747443106193,False,N,42.31327474416083
475,817.999755859375,550.4912109375,0.9999984502792358,834.749755859375,624.8239135742188,0.9999834299087524,858.4943237304688,702.4070434570312,0.9999775886535645,157.22032374082204,False,N,25.24271927335107
480,802.1541748046875,499.10455322265625,0.9999995231628418,815.468994140625,575.5452270507812,0.9999560117721558,843.6780395507812,661.5111694335938,0.999991774559021,167.63096471874948,False,N,53.77425992111079
485,776.9384155273438,459.8975830078125,0.9999501705169678,797.67236328125,530.116455078125,0.9999804496765137,832.3489990234375,610.2728881835938,0.9999984502792358,160.25936843157382,True,N,46.61567364482243
490,761.7855224609375,416.50848388671875,0.9999779462814331,780.4949951171875,492.5311279296875,0.9989684820175171,813.8096923828125,576.1781005859375,0.9999935626983643,167.93123816888732,True,N,45.95893918294939
495,734.382568359375,405.1333312988281,0.9999958276748657,770.7254028320312,480.0151672363281,0.999840259552002,811.00146484375,560.3204345703125,0.9999943971633911,173.07077257664776,True,NW,29.670119478865193
500,737.8216552734375,408.4328918457031,0.9999955892562866,767.7529907226562,480.0411682128906,0.999901294708252,812.85791015625,561.8548583984375,0.9999964237213135,170.78858090559436,True,NW,4.765964603831
505,722.4387817382812,381.0721130371094,0.9999921321868896,755.237060546875,454.3671875,0.9999731779098511,800.481201171875,532.3425903320312,0.9999866485595703,170.21567651683097,True,NW,31.388612827128938
510,713.4373779296875,373.3457946777344,0.9999911785125732,754.3653564453125,450.0423278808594,0.9999290704727173,792.3759765625,524.2051391601562,0.9999181032180786,170.264042509798,True,NW,11.862599458625468
515,718.4432373046875,384.02105712890625,0.9999743700027466,754.03515625,457.5486145019531,0.9998916387557983,794.46337890625,530.3731689453125,0.9999926090240479,164.91816929084402,True,NW,11.790668194961452
520,706.3833618164062,393.0049743652344,0.9999970197677612,754.4151000976562,453.74859619140625,0.9999915361404419,800.222412109375,524.64599609375,0.9999756813049316,161.66361978383955,True,NW,15.038329884067595
525,730.4788818359375,422.53033447265625,0.9999897480010986,768.8461303710938,482.7932434082031,0.9999971389770508,813.34716796875,545.5148315429688,0.9999351501464844,148.29814350229537,True,NW,38.10959163366318
530,734.7257690429688,477.7580261230469,0.9999523162841797,792.0367431640625,510.3769836425781,0.9998863935470581,829.3622436523438,556.7180786132812,0.9997290968894958,123.2507696355339,True,NW,55.39073908136515
535,738.5073852539062,539.604248046875,0.9999788999557495,803.10888671875,531.2176513671875,0.9999511241912842,863.5377807617188,548.650634765625,0.9963704347610474,125.35723718040852,True,W,61.9617284088995
540,747.4369506835938,612.3560180664062,0.9999747276306152,797.4578857421875,549.8196411132812,0.9998730421066284,858.2770385742188,531.1802978515625,0.999462902545929,137.38639902115517,True,SW,73.29772970384441
545,777.7271118164062,646.6953125,0.9999071359634399,810.3505859375,567.4754638671875,0.9999455213546753,863.281005859375,530.5166625976562,0.9928489923477173,144.28079386753762,False,S,45.78952941065007
550,791.8929443359375,700.0363159179688,0.999956488609314,811.736083984375,612.88671875,0.9999734163284302,836.6762084960938,543.2759399414062,0.9988780617713928,163.0317644667798,False,S,55.18997605188068
555,802.4092407226562,729.2394409179688,0.9999516010284424,814.2506713867188,639.783935546875,0.9999837875366211,837.3739013671875,575.408935546875,0.9999657869338989,157.7540867195311,False,S,31.03892716346586
560,845.3067016601562,725.465576171875,0.9999488592147827,817.9317016601562,638.8753051757812,0.9999595880508423,827.9149169921875,578.2139282226562,0.9999507665634155,148.2751563738769,False,S,43.06314212881066
565,883.7063598632812,761.9859619140625,0.9998410940170288,843.4887084960938,681.4415283203125,0.9997112154960632,824.0198974609375,613.343017578125,0.9998300075531006,160.17864618906918,False,SE,52.993134695684844
570,916.72216796875,796.2731323242188,0.9999834299087524,868.7039794921875,707.7916259765625,0.9999866485595703,839.4338989257812,643.9107666015625,0.9999688863754272,170.8442771071445,False,SE,47.598882755714236
575,964.9342041015625,820.7340087890625,0.9935042262077332,904.4058227539062,752.6256713867188,0.9998668432235718,869.06689453125,687.3668823242188,0.9999866485595703,164.24777461426916,False,SE,54.062324270234306
580,959.3225708007812,777.7384643554688,0.9947662353515625,900.5890502929688,735.9735107421875,0.9999512434005737,874.3743896484375,682.3997192382812,0.9995903372764587,127.69365607426022,False,SE,43.36020375232999
585,953.3427734375,772.3927612304688,0.9920728802680969,900.4365844726562,727.5014038085938,0.9999831914901733,873.4732055664062,680.9926147460938,0.9998313188552856,121.38012460563904,False,SE,8.020880151613047
590,892.6414184570312,795.0291748046875,0.9982662796974182,890.1350708007812,720.4282836914062,0.9999368190765381,876.1110229492188,674.8165893554688,0.9999794960021973,121.34380773665555,False,S,64.78473366440548
595,850.71728515625,801.1159057617188,0.999990701675415,877.8012084960938,733.5174560546875,0.999934196472168,881.7709350585938,675.106689453125,0.9999852180480957,129.77924243484898,False,S,42.36367839039662
600,827.534912109375,832.6758422851562,0.9999136924743652,864.4252319335938,759.1425170898438,0.99998939037323,891.2223510742188,691.4111328125,0.9999396800994873,154.95743939641838,False,SW,39.159315793919085
605,815.1676025390625,873.653564453125,0.9998106360435486,857.866943359375,790.7463989257812,0.9999362230300903,892.0405883789062,722.9482421875,0.9999692440032959,169.17904749441848,False,SW,42.80331833027879
610,808.3663330078125,911.5239868164062,0.9999274015426636,845.5770874023438,815.6632690429688,0.9998807907104492,876.5906982421875,746.781005859375,0.9964939951896667,178.3110029870343,False,S,38.47630643928835
615,799.6027221679688,945.515869140625,0.9999967813491821,837.0724487304688,852.1724853515625,0.9999910593032837,871.1658325195312,781.6372680664062,0.9974446296691895,178.82246685814633,False,S,35.10340352296002
620,807.3719482421875,986.0897827148438,0.9999856948852539,823.3980712890625,891.7962646484375,0.9999731779098511,862.0355224609375,820.3358154296875,0.999925971031189,174.53505097010583,False,S,41.31105586305551
