,nose_x,nose_y,nose_likelihood,body_center_x,body_center_y,body_center_likelihood,tail_base_x,tail_base_y,tail_base_likelihood,length,in center,direction,distance
0,964.1942749023438,695.1302490234375,0.999767005443573,928.186767578125,772.0802612304688,0.9999661445617676,910.4733276367188,859.9513549804688,0.999923586845398,173.3549455424188,False,NE,0.0
5,957.2290649414062,666.3897705078125,0.9993889331817627,929.3789672851562,753.2871704101562,0.9995238780975342,919.5798950195312,836.5194091796875,0.9998014569282532,174.24567125305856,False,N,29.57244080401625
10,943.5946655273438,673.1451416015625,0.9993315935134888,931.6022338867188,744.1240844726562,0.9998540878295898,916.8030395507812,839.4360961914062,0.999992847442627,168.43536683508452,False,N,15.216171857483108
15,915.7796630859375,619.96630859375,0.997100293636322,930.2735595703125,703.8626708984375,0.9999277591705322,933.0028686523438,785.5994873046875,0.9999990463256836,166.5262402742344,False,N,60.013853741350786
20,908.4756469726562,557.4942016601562,0.9762500524520874,917.5230102539062,639.9298706054688,0.9994847774505615,923.7699584960938,727.98193359375,0.9999858140945435,171.17237716651854,False,N,62.89763744454512
25,926.3563842773438,523.0455322265625,0.9997527003288269,923.6572875976562,614.0550537109375,0.998731791973114,930.834228515625,695.9112548828125,0.9995205402374268,172.9237090698955,False,N,38.81277614786476
30,963.03076171875,484.00518798828125,0.9999591112136841,925.4368286132812,563.529052734375,0.9999618530273438,929.9956665039062,643.5533447265625,0.999992847442627,162.9322921781835,False,NE,53.564525937958486
35,971.1934204101562,465.97161865234375,0.9999064207077026,929.326416015625,551.8551025390625,0.9967648983001709,918.931884765625,621.9857788085938,0.9993780851364136,164.53475704903397,False,NE,19.794913990882993
40,960.2486572265625,464.02362060546875,0.9999830722808838,930.0286865234375,542.655517578125,0.9989525079727173,932.3650512695312,611.1163940429688,0.994164764881134,149.71232240100576,False,N,11.116768304483907
45,914.7872314453125,477.209228515625,0.7356081604957581,935.8787841796875,555.7247924804688,0.9993821382522583,932.2512817382812,630.21435546875,0.9999933242797852,153.99857767712416,False,N,47.33499223644678
50,880.308349609375,457.9785461425781,0.9999860525131226,927.2443237304688,535.8871459960938,0.9986685514450073,938.2755126953125,605.321044921875,0.9999005794525146,158.3351001602575,False,NW,39.479265915028826
55,836.2229614257812,406.22222900390625,0.9999995231628418,895.0709228515625,475.1507568359375,0.9999662637710571,930.7828979492188,542.3095092773438,0.9999648332595825,165.71460239682457,False,NW,67.98704152305002
60,820.42822265625,364.6233215332031,0.9999951124191284,868.9004516601562,435.2698974609375,0.9999620914459229,916.9237060546875,507.80206298828125,0.9999884366989136,172.66015846441886,False,NW,44.496549029715254
65,829.8064575195312,298.408935546875,0.9999380111694336,851.7864379882812,376.8634948730469,0.9999505281448364,889.6212768554688,449.5705871582031,0.9996860027313232,162.56585597860143,False,N,66.87522860295365
