,nose_x,nose_y,nose_likelihood,body_center_x,body_center_y,body_center_likelihood,tail_base_x,tail_base_y,tail_base_likelihood,length,in center,direction,distance
0,854.97509765625,91.69692993164062,0.9997838139533997,837.84521484375,163.89125061035156,0.9999946355819702,839.8460693359375,238.1777801513672,0.999988317489624,147.26006579860945,False,N,0.0
5,852.7769165039062,82.96439361572266,0.9999599456787109,839.1630249023438,155.18081665039062,0.9999821186065674,838.8556518554688,227.28773498535156,0.9999876022338867,144.99320147340106,False,N,9.004953686018904
10,841.504638671875,65.36276245117188,0.9999526739120483,838.8419799804688,143.6620330810547,0.9999752044677734,839.9700927734375,216.0782470703125,0.9998776912689209,150.7232965904635,False,N,20.901714455407443
15,824.56884765625,61.518428802490234,0.9999642372131348,837.2348022460938,139.34036254882812,0.9999858140945435,844.0804443359375,207.6379852294922,0.9999903440475464,147.41650916845984,False,N,17.3666323312066
20,790.520263671875,80.68209838867188,0.9999791383743286,830.6235961914062,139.95736694335938,0.999983549118042,846.5960693359375,202.26101684570312,0.9999128580093384,133.88774923067143,False,NW,39.07111853209965
25,779.5382080078125,81.92732238769531,0.9999939203262329,824.9807739257812,138.89193725585938,0.9999463558197021,853.3485717773438,194.38226318359375,0.9999988079071045,134.51425020866583,False,NW,11.052426404021478
30,755.5689697265625,58.25422286987305,0.9999961853027344,804.8883056640625,114.11160278320312,0.9999970197677612,846.3453979492188,171.62644958496094,0.9999685287475586,145.23643382843147,False,NW,33.68887093038378
35,732.5358276367188,48.259490966796875,0.9999884366989136,789.1860961914062,102.1026840209961,0.9999890327453613,836.3831176757812,154.8928985595703,0.9999792575836182,148.84536695276654,False,NW,25.108171983346384
40,725.7869262695312,44.12571334838867,0.9999915361404419,779.853759765625,97.19054412841797,0.9998974800109863,831.0715942382812,139.7672576904297,0.999954104423523,142.23981971804002,False,NW,7.914277418847402
45,732.190185546875,43.068424224853516,0.999915361404419,780.0844116210938,95.9373779296875,0.9998362064361572,832.7134399414062,135.2865447998047,0.9999909400939941,136.41519870030567,False,NW,6.489960682749515
50,741.2611694335938,50.07424545288086,0.9999926090240479,782.65234375,98.87283325195312,0.9998915195465088,832.7550048828125,135.08567810058594,0.9999957084655762,124.89221595449419,False,NW,11.461425729471433
55,750.8941040039062,48.12155532836914,0.8372139930725098,783.1973266601562,98.9173355102539,0.9997031092643738,833.5433959960938,136.14056396484375,0.9999955892562866,120.74042963381264,False,NW,9.82885685918191
60,752.6483154296875,42.48188781738281,0.8964928984642029,789.1885986328125,100.1247787475586,0.9987505674362183,832.7593383789062,136.55320739746094,0.9999877214431763,123.56046764846532,False,NW,5.9061922895226
65,747.8411254882812,46.70805740356445,0.995945155620575,787.6407470703125,101.48538208007812,0.9994915723800659,833.3931274414062,137.25900268554688,0.9999855756759644,124.57374815605445,False,NW,6.40074874557064
70,746.0772705078125,56.02742004394531,0.9893224835395813,791.036376953125,104.42549133300781,0.9993686079978943,834.6085205078125,137.1954803466797,0.9999886751174927,120.10843534019925,False,NW,9.484814411207577
75,745.6079711914062,69.08887481689453,0.9999887943267822,796.4089965820312,111.9642105102539,0.999880313873291,844.1583862304688,138.61329650878906,0.9996751546859741,120.60609236669535,False,NW,13.06988303827457
80,722.515625,72.1507568359375,0.9999072551727295,782.3636474609375,106.22817993164062,0.9998462200164795,838.8363037109375,135.98724365234375,0.9999719858169556,132.68608572429272,False,NW,23.294453720194713
85,700.5057983398438,64.25887298583984,0.9998868703842163,765.2269287109375,96.74726104736328,0.9998643398284912,824.2398071289062,124.96725463867188,0.9996343851089478,137.82457158982106,False,NW,23.381922511067327
90,671.9068603515625,49.978660583496094,0.9999256134033203,739.3126831054688,85.5728759765625,0.9999825954437256,807.1865234375,94.46800231933594,0.9999849796295166,142.40747442719817,False,NW,31.965977543532258
95,644.927978515625,47.19426727294922,0.9961974620819092,712.8417358398438,79.1014175415039,0.9999213218688965,787.3604125976562,97.88591003417969,0.9999985694885254,151.18412920794427,False,NW,27.122184853460766
100,621.7437744140625,48.33824157714844,0.9999232292175293,696.0783081054688,72.41187286376953,0.9999432563781738,774.7757568359375,85.33583068847656,0.9999914169311523,157.44081187550998,False,W,23.2124104097695
105,598.1829223632812,49.78816604614258,0.9998663663864136,676.9395751953125,73.46308135986328,0.9999206066131592,753.424560546875,83.17508697509766,0.9999911785125732,158.7912236713419,False,W,23.605423748041275
110,579.428466796875,48.156917572021484,0.9999061822891235,660.374755859375,70.60673522949219,0.9999898672103882,737.05322265625,73.5368423461914,0.9999467134475708,159.65495370100516,False,W,18.825264279064683
115,566.7391357421875,52.79734420776367,0.9815758466720581,645.2775268554688,71.33168029785156,0.9999825954437256,719.8309936523438,70.10638427734375,0.9999963045120239,154.067257477096,False,W,13.511205792865496
120,556.2389526367188,55.461936950683594,0.999736487865448,642.4713745117188,76.47616577148438,0.9999171495437622,715.6569213867188,74.60191345214844,0.9999445676803589,160.56284582945273,False,W,10.833000495430289
125,558.62353515625,66.41263580322266,0.9900026321411133,633.128662109375,70.81986236572266,0.9998997449874878,713.01611328125,72.59093475341797,0.9999737739562988,154.51614659317067,False,W,11.207320783820473
130,540.837158203125,83.55040740966797,0.999573290348053,619.9959716796875,76.86259460449219,0.9998524188995361,694.6678466796875,60.41685485839844,0.9756451845169067,155.5604126081426,False,W,24.699360735722276
135,512.93017578125,90.60617065429688,0.9999353885650635,594.0657348632812,79.83375549316406,0.9999890327453613,666.002685546875,49.18037033081055,0.9998456239700317,158.57897142556047,False,W,28.78512572248203
140,486.5720520019531,82.28905487060547,0.9999688863754272,563.951904296875,80.56566619873047,0.9999901056289673,641.6660766601562,61.9615364074707,0.9999903440475464,156.42047337720342,False,W,27.639195070118525
145,445.1720886230469,68.0216064453125,0.9998804330825806,530.2286376953125,78.41020202636719,0.9999741315841675,606.57470703125,66.50382995605469,0.9999794960021973,161.40975458284848,False,W,43.78946280034928
150,422.0262145996094,66.18351745605469,0.9999573230743408,503.91546630859375,78.23696899414062,0.9999396800994873,568.1563110351562,53.66242599487305,0.9990293979644775,146.66554747329553,False,W,23.218743623229695
